51.484017,-113.142683,772.3,13:42:11
51.484033,-113.142617,773.7,13:42:13
51.484083,-113.142433,779.1,13:42:15
51.484133,-113.142100,794.7,13:42:19
51.484117,-113.141933,807.1,13:42:21
51.484100,-113.141800,818.3,13:42:23
51.484050,-113.141600,829.2,13:42:25
51.484017,-113.141417,839.0,13:42:27
51.484000,-113.141200,848.7,13:42:29
51.483967,-113.141017,858.5,13:42:31
51.483917,-113.140783,869.2,13:42:33
51.483867,-113.140633,880.4,13:42:35
51.483783,-113.140433,890.9,13:42:37
51.483700,-113.140183,901.0,13:42:39
51.483633,-113.139950,911.1,13:42:41
51.483533,-113.139733,921.0,13:42:43
51.483450,-113.139467,929.9,13:42:45
51.483333,-113.139217,938.7,13:42:47
51.483217,-113.138983,947.8,13:42:49
51.483067,-113.138783,958.0,13:42:51
51.482967,-113.138617,968.8,13:42:53
51.482850,-113.138433,979.7,13:42:55
51.482717,-113.138233,990.0,13:42:57
51.482567,-113.138067,999.1,13:42:59
51.482417,-113.137933,1006.2,13:43:01
51.482283,-113.137850,1012.3,13:43:03
51.482167,-113.137717,1019.7,13:43:05
51.482067,-113.137600,1027.7,13:43:07
51.481967,-113.137467,1035.8,13:43:09
51.481883,-113.137333,1042.1,13:43:11
51.481800,-113.137167,1047.5,13:43:13
51.481683,-113.137033,1053.5,13:43:15
51.481567,-113.136900,1061.3,13:43:17
51.481433,-113.136783,1069.7,13:43:19
51.481317,-113.136700,1078.3,13:43:21
51.481217,-113.136617,1087.2,13:43:23
51.481117,-113.136550,1095.7,13:43:25
51.481017,-113.136483,1102.5,13:43:27
51.480900,-113.136450,1108.8,13:43:29
51.480767,-113.136367,1114.6,13:43:31
51.480633,-113.136283,1121.5,13:43:33
51.480517,-113.136200,1130.0,13:43:35
51.480417,-113.136083,1139.0,13:43:37
51.480317,-113.135967,1148.4,13:43:39
51.480217,-113.135850,1158.4,13:43:41
51.480117,-113.135750,1168.6,13:43:43
51.480000,-113.135683,1179.0,13:43:45
51.479867,-113.135617,1189.6,13:43:47
51.479733,-113.135550,1199.6,13:43:49
51.479600,-113.135433,1207.9,13:43:51
51.479483,-113.135300,1215.8,13:43:53
51.479367,-113.135183,1224.6,13:43:55
51.479233,-113.135067,1234.1,13:43:57
51.479167,-113.134983,1242.9,13:43:59
51.479067,-113.134917,1250.9,13:44:01
51.479000,-113.134850,1257.6,13:44:03
51.478900,-113.134833,1264.0,13:44:05
51.478833,-113.134767,1270.2,13:44:07
51.478733,-113.134700,1277.2,13:44:09
51.478650,-113.134667,1283.8,13:44:11
51.478533,-113.134633,1291.7,13:44:13
51.478433,-113.134600,1300.5,13:44:15
51.478283,-113.134550,1311.8,13:44:17
51.478150,-113.134500,1323.1,13:44:19
51.478050,-113.134417,1333.6,13:44:21
51.477950,-113.134383,1344.0,13:44:23
51.477867,-113.134317,1353.8,13:44:25
51.477767,-113.134233,1362.8,13:44:27
51.477683,-113.134167,1371.3,13:44:29
